Opponent,Stage,Map,Whose Pick?,Rounds Won,Rounds Lost,Win/Loss?,skuba Agent,s0m Agent,mada Agent,Ethan Agent,Brawk Agent,Verno Agent,FNS Agent,skuba Rating,s0m Rating,mada Rating,Ethan Rating,Brawk Rating,Verno Rating,FNS Rating
C9,Kickoff UR1,Fracture,NRG,12,14,0,,Brimstone,Raze,Breach,,Sova,Killjoy,,1.72,1.24,0.91,,0.83,0.51
C9,Kickoff UR1,Lotus,Opponent,10,13,0,,Viper,Raze,Omen,,Fade,Vyse,,0.94,0.86,1.21,,1.02,1.05
100T,Kickoff LR1,Lotus,Opponent,12,14,0,,Omen,Raze,Tejo,,Vyse,Breach,,0.87,1.23,0.59,,1.22,1.11
100T,Kickoff LR1,Pearl,NRG,13,9,1,,Astra,Jett,Tejo,,Vyse,Breach,,1.47,1.66,0.85,,0.84,1.17
100T,Kickoff LR1,Bind,Decider,13,9,1,,Brimstone,Raze,KAY/O,,Fade,Viper,,1.08,1.54,0.91,,1.32,1.03
KRU,Kickoff LR2,Abyss,Opponent,8,13,0,,Harbor,Yoru,Omen,,Sova,Vyse,,1.02,1.33,1.42,,0.63,0.33
KRU,Kickoff LR2,Haven,NRG,13,10,1,,Omen,Neon,Breach,,Sova,Cypher,,0.74,1.64,1.63,,0.84,0.44
KRU,Kickoff LR2,Bind,Decider,7,13,0,,Brimstone,Raze,KAY/O,,Fade,Viper,,0.99,0.83,0.57,,0.75,0.64
C9,Group Stage W1,Lotus,NRG,13,6,1,,Omen,Neon,Breach,Tejo,,Vyse,,1.63,0.61,1.27,1.49,,1.11
C9,Group Stage W1,Fracture,Opponent,5,13,0,,Brimstone,Raze,Breach,Tejo,,Cypher,,0.84,1.09,0.89,0.61,,0.61
C9,Group Stage W1,Pearl,Decider,9,13,0,,Astra,Neon,Yoru,Sova,,Killjoy,,1.49,1.13,0.25,1.04,,0.68
FUR,Group Stage W2,Lotus,NRG,10,13,0,,Omen,Neon,Breach,Tejo,,Vyse,,1.58,0.6,0.92,0.92,,0.93
FUR,Group Stage W2,Pearl,Opponent,13,2,1,,Astra,Jett,Yoru,Sova,,Killjoy,,1.34,1.49,1.58,1.76,,0.86
FUR,Group Stage W2,Fracture,Decider,13,4,1,,Brimstone,Raze,Breach,Tejo,,Cypher,,1.31,2.17,1.42,1,,1.13
